timestamp,source_ip,destination_ip,protocol,port,threat,user_agent,location,bytes_sent,bytes_received
2025-05-24 22:28:17,64.138.66.19,62.52.8.67,UDP,8080,none,Mozilla/5.0,ZA,2917,1701
2025-05-24 22:28:18,249.228.230.58,196.235.92.137,ICMP,22,none,curl/7.68.0,FR,4604,3580
2025-05-24 22:28:19,88.148.175.239,70.105.246.17,ICMP,53,ddos,Mozilla/5.0,RU,2291,1601
2025-05-24 22:28:20,97.164.114.221,129.41.165.157,UDP,53,malware,curl/7.68.0,IN,3012,2719
2025-05-24 22:28:21,225.28.228.33,240.232.73.151,ICMP,8080,none,curl/7.68.0,FR,4090,1578
2025-05-24 22:28:22,120.111.196.188,125.19.43.177,ICMP,53,none,Mozilla/5.0,ZA,2413,3290
2025-05-24 22:28:23,188.251.49.148,213.234.146.194,UDP,123,phishing,Python-urllib/3.8,US,3215,2847
2025-05-24 22:28:24,226.206.153.193,68.63.181.165,ICMP,53,ddos,Wget/1.20.3,CA,1559,3167
2025-05-24 22:28:25,4.152.156.107,192.145.224.172,TCP,443,none,curl/7.68.0,FR,2894,3029
2025-05-24 22:28:26,116.101.226.101,171.6.48.131,ICMP,22,none,Wget/1.20.3,RU,3620,3311
2025-05-24 22:28:27,38.195.225.106,161.225.59.108,ICMP,22,none,Wget/1.20.3,AU,4824,3925
2025-05-24 22:28:28,243.14.116.31,184.145.232.157,TCP,53,none,Python-urllib/3.8,IN,2155,1114
2025-05-24 22:28:29,48.194.199.159,82.197.141.163,UDP,8080,none,Wget/1.20.3,DE,1257,2513
2025-05-24 22:28:30,226.185.213.243,55.219.42.101,UDP,8080,ransomware,Mozilla/5.0,RU,3761,3042
2025-05-24 22:28:31,90.60.235.211,15.154.196.196,TCP,22,none,Wget/1.20.3,CA,4153,3357
2025-05-24 22:28:32,166.244.8.207,177.193.180.235,UDP,80,none,PostmanRuntime/7.28.4,CA,1022,3510
2025-05-24 22:28:33,77.42.106.86,119.136.194.123,UDP,123,none,curl/7.68.0,CA,523,4561
2025-05-24 22:28:34,19.197.241.28,147.41.223.46,UDP,22,none,Mozilla/5.0,DE,4476,389
2025-05-24 22:28:35,216.66.100.77,238.154.178.161,UDP,53,none,Python-urllib/3.8,CN,4275,1138
2025-05-24 22:28:36,64.27.161.126,19.57.188.144,ICMP,53,none,Wget/1.20.3,US,4459,164
2025-05-24 22:28:37,13.254.134.50,133.69.160.229,TCP,53,none,Python-urllib/3.8,CN,3537,3570
2025-05-24 22:28:38,153.147.251.191,47.181.8.13,ICMP,53,none,Python-urllib/3.8,IN,1954,3390
2025-05-24 22:28:39,124.29.60.125,130.112.172.252,UDP,123,none,Mozilla/5.0,DE,4976,3467
2025-05-24 22:28:40,90.123.232.177,23.223.5.240,UDP,3306,none,curl/7.68.0,RU,4393,1770
2025-05-24 22:28:41,120.15.226.69,114.160.11.72,ICMP,53,none,Python-urllib/3.8,RU,1136,1038
2025-05-24 22:28:42,181.9.219.2,156.76.12.35,ICMP,123,none,curl/7.68.0,BR,3794,1772
2025-05-24 22:28:43,27.44.105.65,242.225.113.87,UDP,8080,ddos,Python-urllib/3.8,DE,2484,2236
2025-05-24 22:28:44,156.180.138.43,101.200.230.78,UDP,123,ransomware,curl/7.68.0,ZA,3417,3070
2025-05-24 22:28:45,23.95.39.92,217.6.248.191,TCP,3306,none,PostmanRuntime/7.28.4,ZA,708,2639
2025-05-24 22:28:46,191.121.234.29,186.237.1.195,UDP,53,phishing,Wget/1.20.3,CA,929,4330
2025-05-24 22:28:47,184.32.58.22,242.254.165.93,ICMP,80,none,curl/7.68.0,CA,1867,3459
2025-05-24 22:28:48,3.51.138.6,55.67.205.138,TCP,80,none,Wget/1.20.3,RU,356,157
2025-05-24 22:28:49,196.197.169.156,52.146.69.178,TCP,80,none,Wget/1.20.3,CN,2415,2483
2025-05-24 22:28:50,71.188.115.227,22.5.75.25,TCP,8080,none,PostmanRuntime/7.28.4,DE,2901,2968
2025-05-24 22:28:51,229.222.89.53,133.200.149.74,ICMP,3306,none,Python-urllib/3.8,AU,189,4746
2025-05-24 22:28:52,15.103.5.94,70.194.116.180,UDP,123,none,PostmanRuntime/7.28.4,ZA,1980,1040
2025-05-24 22:28:53,27.179.250.210,39.24.67.141,TCP,80,none,Mozilla/5.0,BR,1998,3764
2025-05-24 22:28:54,189.253.180.21,75.134.82.96,TCP,22,none,curl/7.68.0,FR,3737,1101
2025-05-24 22:28:55,144.9.225.96,240.125.253.11,UDP,3306,none,Wget/1.20.3,RU,2402,2054
2025-05-24 22:28:56,79.36.12.47,216.108.15.244,ICMP,22,none,Python-urllib/3.8,US,4151,4071
2025-05-24 22:28:57,18.20.114.194,157.129.77.147,TCP,123,malware,Wget/1.20.3,FR,3581,4519
2025-05-24 22:28:58,234.46.85.39,254.49.131.22,ICMP,22,ransomware,PostmanRuntime/7.28.4,CN,210,1693
2025-05-24 22:28:59,228.252.252.231,238.70.88.216,TCP,8080,none,Python-urllib/3.8,CN,3969,2492
2025-05-24 22:29:00,134.170.211.178,72.123.142.220,TCP,22,none,PostmanRuntime/7.28.4,ZA,3588,274
2025-05-24 22:29:01,226.31.223.88,161.96.81.141,UDP,443,none,curl/7.68.0,IN,4803,4394
2025-05-24 22:29:02,221.20.72.217,247.58.247.74,UDP,53,ransomware,PostmanRuntime/7.28.4,DE,3463,2361
2025-05-24 22:29:03,73.228.83.5,5.28.235.142,UDP,53,none,Mozilla/5.0,RU,2521,2913
2025-05-24 22:29:04,81.188.180.76,131.62.102.215,UDP,53,phishing,curl/7.68.0,CN,903,1162
2025-05-24 22:29:05,10.179.236.224,218.95.49.185,ICMP,53,none,curl/7.68.0,ZA,1649,3164
